"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"FRW00034067","1958-09-30","48.43333","4.48333","120.1","BRIENNE, FR","  310",",,X","    0",",,X","    0",",,X","  167",",,X","  139",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-10-01","48.43333","4.48333","120.1","BRIENNE, FR","    8",",,X","    0",",,X","    0",",,X","  178",",,X","  117",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-10-02","48.43333","4.48333","120.1","BRIENNE, FR","   30",",,X","    0",",,X","    0",",,X","  167",",,X","  100",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-10-03","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   78",",,X",,,,,,,,,,,,,,
"FRW00034067","1958-10-04","48.43333","4.48333","120.1","BRIENNE, FR","   76",",,X","    0",",,X","    0",",,X","  189",",,X","  111",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-10-05","48.43333","4.48333","120.1","BRIENNE, FR","    5",",,X","    0",",,X","    0",",,X","  194",",,X","  106",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-10-06","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  161",",,X","   39",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-10-07","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  161",",,X","   28",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-08","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  183",",,X","   33",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-09","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  211",",,X","   94",",,X",,,,,,,,,,,,,,
"FRW00034067","1958-10-10","48.43333","4.48333","120.1","BRIENNE, FR","14224",",G,X"," 1016",",O,X","    0",",,X","  433",",G,X"," 3544",",X,X","   72",",,X",,,"    1",",,X",,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-11","48.43333","4.48333","120.1","BRIENNE, FR","  102",",,X","    0",",,X","    0",",,X","  194",",,X","  139",",,X",,,,,"    1",",,X",,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-12","48.43333","4.48333","120.1","BRIENNE, FR","   66",",,X","    0",",,X","    0",",,X","  161",",,X","   89",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-13","48.43333","4.48333","120.1","BRIENNE, FR","   25",",,X","    0",",,X","    0",",,X","  117",",,X","   83",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-14","48.43333","4.48333","120.1","BRIENNE, FR","   23",",,X","    0",",,X","    0",",,X","  172",",,X","  106",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-15","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  189",",,X","  106",",,X",,,,,,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-16","48.43333","4.48333","120.1","BRIENNE, FR","   13",",,X","    0",",,X","    0",",,X","  150",",,X","   67",",,X",,,,,,,,,,,"    1",",,X",,
"FRW00034067","1958-10-17","48.43333","4.48333","120.1","BRIENNE, FR","   18",",,X","    0",",,X","    0",",,X","  117",",,X","   72",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-18","48.43333","4.48333","120.1","BRIENNE, FR","   38",",,X","    0",",,X","    0",",,X","  139",",,X","   72",",,X",,,"    1",",,X","    1",",,X",,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-19","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  117",",,X","   50",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-20","48.43333","4.48333","120.1","BRIENNE, FR","    5",",,X","    0",",,X","    0",",,X","  128",",,X","   67",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-21","48.43333","4.48333","120.1","BRIENNE, FR","   18",",,X","    0",",,X","    0",",,X","  133",",,X","   67",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-22","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  150",",,X","   67",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-23","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  161",",,X","   72",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-10-24","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  178",",,X","   61",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-25","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  178",",,X","   72",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-26","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  183",",,X","   72",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-27","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  150",",,X","   39",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-28","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  128",",,X","    6",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-29","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  106",",,X","    0",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-30","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  144",",,X","   17",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-10-31","48.43333","4.48333","120.1","BRIENNE, FR","   51",",,X","    0",",,X","    0",",,X","  111",",,X","   44",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-01","48.43333","4.48333","120.1","BRIENNE, FR","   13",",,X","    0",",,X","    0",",,X","   72",",,X","    6",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-02","48.43333","4.48333","120.1","BRIENNE, FR","   76",",,X","    0",",,X","    0",",,X","   78",",,X","    6",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-03","48.43333","4.48333","120.1","BRIENNE, FR","   69",",,X","    0","T,,X","    0",",,X","  133",",,X","   78",",,X",,,"    1",",,X",,,,,,,"    1",",,X","    1",",,X"
"FRW00034067","1958-11-04","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  133",",,X","   83",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-05","48.43333","4.48333","120.1","BRIENNE, FR","   18",",,X","    0",",,X","    0",",,X","  122",",,X","   72",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-06","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  117",",,X","   61",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-07","48.43333","4.48333","120.1","BRIENNE, FR","    8",",,X","    0",",,X","    0",",,X","  133",",,X","   44",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-08","48.43333","4.48333","120.1","BRIENNE, FR","   36",",,X","    0",",,X","    0",",,X","  139",",,X","   94",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-11-09","48.43333","4.48333","120.1","BRIENNE, FR","    8",",,X","    0",",,X","    0",",,X","  122",",,X","   44",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-10","48.43333","4.48333","120.1","BRIENNE, FR","   13",",,X","    0",",,X","    0",",,X","   61",",,X","   33",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-11-11","48.43333","4.48333","120.1","BRIENNE, FR","    3",",,X","    0",",,X","    0",",,X","   78",",,X","   22",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-11-12","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   50",",,X","   11",",,X",,,"    1",",,X",,,,,,,,,,
"FRW00034067","1958-11-13","48.43333","4.48333","120.1","BRIENNE, FR","    3",",,X","    3",",,X","    0",",,X","   50",",,X","   -6",",,X",,,"    1",",,X",,,,,"    1",",,X",,,"    1",",,X"
"FRW00034067","1958-11-14","48.43333","4.48333","120.1","BRIENNE, FR","   46",",,X","    0","T,,X","    0",",,X","   72",",,X","   28",",,X",,,"    1",",,X",,,,,,,"    1",",,X","    1",",,X"
"FRW00034067","1958-11-15","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  100",",,X","   67",",,X",,,"    1",",,X",,,,,,,,,,
"FRW00034067","1958-11-16","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  111",",,X","   44",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-17","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  106",",,X","   44",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-11-18","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  128",",,X","   28",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-11-19","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","  106",",,X","  -17",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-11-20","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   56",",,X","  -11",",,X",,,"    1",",,X",,,,,,,,,,
"FRW00034067","1958-11-21","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   83",",,X","   44",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-11-22","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","  100",",,X","   33",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-11-23","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   61",",,X","   28",",,X",,,"    1",",,X",,,,,,,,,,
"FRW00034067","1958-11-24","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","   56",",,X","   44",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-11-25","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","   56",",,X","   39",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-11-26","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","   61",",,X","   28",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-11-27","48.43333","4.48333","120.1","BRIENNE, FR","    0","T,,X","    0",",,X","    0",",,X","   44",",,X","   11",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-11-28","48.43333","4.48333","120.1","BRIENNE, FR","    8",",,X","    0",",,X","    0",",,X","   67",",,X","   11",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-11-29","48.43333","4.48333","120.1","BRIENNE, FR","    3",",,X","    0",",,X","    0",",,X","   50",",,X","   28",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,
"FRW00034067","1958-11-30","48.43333","4.48333","120.1","BRIENNE, FR","    3",",,X","    0",",,X","    0",",,X","   61",",,X","   17",",,X",,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"FRW00034067","1958-12-01","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   61",",,X","   -6",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-12-02","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   61",",,X","  -28",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-12-03","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   67",",,X","  -39",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-12-04","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   28",",,X","  -67",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-12-05","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   56",",,X","  -94",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-12-06","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   89",",,X","  -28",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-12-07","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","   50",",,X","  -61",",,X",,,"    1",",,X",,,,,"    1",",,X",,,,
"FRW00034067","1958-12-08","48.43333","4.48333","120.1","BRIENNE, FR","    0",",,X","    0",",,X","    0",",,X","    0",",,X","  -94",",,X",,,"    1",",,X",,,,,,,,,,
